"state_abbr","facility_count","population","facility_density_per_100k"
"AK",104,733391,14.1807030628955
"AL",176,5039877,3.49214871712147
"AR",217,3011524,7.20565401437943
"AZ",561,7151502,7.84450595133722
"CA",1188,39538223,3.00468738820154
"CO",225,5773714,3.89697168928007
"CT",242,3605944,6.71114138211797
"DC",36,689545,5.22083402823601
"DE",48,989948,4.84873952975308
"FL",589,21538187,2.73467771451701
"GA",270,10711908,2.52055936253373
"HI",27,1455271,1.85532454092743
"IA",161,3190369,5.04643820197601
"ID",106,1839106,5.76366995703347
"IL",421,12812508,3.2858516068829
"IN",337,6785528,4.96645213165431
"KS",127,2937880,4.32284504472613
"KY",256,4505836,5.68152058796636
"LA",188,4657757,4.03627754732589
"MA",339,7029917,4.82224754573916
"MD",378,6177224,6.11925356762196
"ME",184,1362359,13.505984839532
"MI",410,10077331,4.06853759194771
"MN",323,5706494,5.66021799024059
"MO",238,6154913,3.8668296367471
"MS",193,2961279,6.51745411357728
"MT",96,1084225,8.85425073208974
"NC",403,10439388,3.86037955481682
"ND",34,779094,4.36404336318852
"NE",174,1961504,8.87074408209211
"NH",78,1377529,5.66231273533987
"NJ",395,9288994,4.25234422586558
"NM",98,2117522,4.62805108990603
"NV",147,3104614,4.7348881374625
"NY",754,20201249,3.73244248412561
"OH",774,11799448,6.55962889111423
"OK",163,3959353,4.11683424034179
"OR",209,4237256,4.9324374076053
"PA",570,13002700,4.38370492282372
"PR",64,NA,NA
"RI",53,1097379,4.8296896514331
"SC",121,5118425,2.36400845963358
"SD",43,886667,4.84962223698412
"TN",302,6910840,4.36994634516209
"TX",472,29145505,1.61946070243079
"UT",321,3271616,9.81166493867251
"VA",329,8631393,3.81166747939759
"VT",77,643077,11.9736827782676
"WA",380,7693612,4.93916251560385
"WI",391,5893718,6.6341823616264
"WV",139,1793716,7.74927580508843
"WY",56,576851,9.70787950441275
"ZZ",10,NA,NA
